synonyms,average,word
قَضِيَّة,40,شَأن
مَسْألَة,75,شَأن
أمْر,"72,5",شَأن
شَيء,80,شَأن
شَهْر شَمْسِيّ,"72,5",شَهْر
شَهْر مِيلادِيّ,80,شَهْر
نَوْع,10,شَكْل
نَمَط,"42,5",شَكْل
صِنْف,"2,5",شَكْل
ضَرْب,"17,5",شَكْل
جِسْم إِنْسَان,40,شَكْل
جَسَد إِنْسَان,"37,5",شَكْل
هَيْكَل,75,شَكْل
بُنْيَة,35,شَكْل
بِنْيَة,"57,5",شَكْل
بَدَن,10,شَكْل
صُورَة,55,شَكْل
رَسْم,"57,5",شَكْل
شَخْصِيَّة,"7,5",شَكْل
زِينَة,"7,5",شَكْل
زَخْرَفَة,"22,5",شَكْل
شَكْل كَلِمَة,"22,5",شَكْل
شَكْل جِسْمَانِي,"37,5",شَكْل
شَكْل بَشَرِيّ,30,شَكْل
هَيْئَة,"47,5",شَكْل
مَظْهَر,"52,5",شَكْل
قِطْعَة,90,شَرِيحَة
مَسْألَة,40,شَيء
شَأن,"22,5",شَيء
أمْر,65,شَيء
قِسْم,75,شُعْبَة
فِئَة,"82,5",شُعْبَة
جُزْء,"72,5",شُعْبَة
تَذَكُّر,65,ذَاكِرَة
حِسّ,60,إحْسَاس
حَاسَّة,25,إحْسَاس
شُعُور,100,إحْسَاس
نِتَاج,"62,5",إِنْتَاج
مُنْتَج,55,إِنْتَاج
مَنْتُوج,50,إِنْتَاج
آدَمِي,"82,5",إِنْسَانِي
بَشَرِي,"92,5",إِنْسَانِي
بَشَرِيّ,"92,5",إِنْسَانِي
اِنْسَانِي,100,إِنْسَانِي
تَفَاهُم,"72,5",إتِّفَاق
رُسُوب,"67,5",إِخْفَاق
فَشَل,95,إِخْفَاق
إِفْلاس,"37,5",إِخْفَاق
قَرَار,80,أَمْر
حُكْم,"77,5",أَمْر
مَرْسُوم,"72,5",أَمْر
تَأزُّم,85,أَزْمَة
تُرْبَة,20,أرْض
تُرَاب,20,أرْض
أرْضِيَّة,"37,5",أرْض
بَرّ,"62,5",أرْض
اليَابِسَة,"62,5",أرْض
الأرْض,100,أرْض
دَوْلَة,20,أرْض
بَلَد,20,أرْض
قِطْعَة أرْض,"22,5",أرْض
مُلْك,"7,5",أرْض
عَقَار,"7,5",أرْض
خَبَر,100,أخْبَار
نَبَأ,85,أخْبَار
تَوْظِيف,"62,5",اِسْتِثْمار
تَوْحِيد,45,اِتِّحَاد
